,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200,Name,Change,%_Change,50_Day_Avg,200_Day_Avg,fund_extended_name,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,f_size,net_annual_expense_ratio_fund,price_earnings,price_book,morningstar_return_rating,fund_return_1month,fund_return_3months,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_return_2018,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,morningstar_risk_rating,fund_alpha_3years,fund_beta_3years,fund_r_squared_3years,fund_standard_deviation_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years
354,RYHDX,Rydex High Yield Strategy Fund Class A,22.55,0.31,0.07,25.56,19.85,22.038823999999998,23.662058,Rydex High Yield Strategy Fund Class A,0.07,0.31,22.04,23.66,Rydex High Yield Strategy Fund Class A,Rydex Funds,110.07,6.4,3.29,3,2007-04-15,Value,Medium,1.53,9.62,1.62,3.0,1.99,6.4,7.18,5.8,4.61,9.4,-0.93,31.76,1.36,43.49,22.63,0.0,0.3,0.0,6.44,1.42,6.43,0.0,0.0,0.0,32.16,0.0,53.55,0.0,3.0,3.89,0.71,30.24,3.77,1.17,6.39
355,VTSIX,Vanguard Tax-Managed Small-Cap Fund Institutional Shares,54.42,-3.18,-1.79,69.33,39.97,49.600291999999996,58.685590000000005,Vanguard Tax-Managed Small-Cap Fund Institutional Shares,-1.79,-3.18,49.6,58.69,Vanguard Tax-Managed Small-Cap Fund Institutional Shares,Vanguard,6530.0,11.83,1.25,5,1999-04-20,Blend,Small,0.06,15.93,1.76,5.0,-3.25,11.83,1.56,12.38,8.44,16.96,-8.59,0.45,99.55,0.0,0.0,0.0,0.0,6.97,13.77,15.92,8.26,3.45,10.02,2.08,2.07,3.85,17.08,16.53,3.0,-3.14,1.24,66.26,16.32,0.72,8.96
356,QCSGX,Federated MDT Small Cap Growth Fund Class C Shares,18.89,-2.07,-0.399999,21.58,12.5,17.170588000000002,18.741101999999998,Federated MDT Small Cap Growth Fund Class C Shares,-0.4,-2.07,17.17,18.74,Federated MDT Small Cap Growth Fund Class C Shares,Federated,790.82,13.21,0.0,3,2005-09-14,Growth,Small,1.89,14.81,2.9,3.0,-2.68,13.21,1.67,15.85,10.13,16.04,-7.16,3.69,96.31,0.0,0.0,0.0,0.0,6.53,19.86,8.5,0.0,3.8,24.1,0.0,2.27,0.95,15.88,18.11,4.0,-1.18,1.34,70.16,17.23,0.87,10.82
357,VHCOX,Vanguard Capital Opportunity Fund Investor Shares,62.44,-0.9,-0.57,72.31,47.36,58.973236,63.905440000000006,Vanguard Capital Opportunity Fund Investor Shares,-0.57,-0.9,58.97,63.91,Vanguard Capital Opportunity Fund Investor Shares,Vanguard,16930.0,12.54,0.67,3,1995-08-13,Growth,Large,0.43,13.6,2.94,4.0,-0.95,12.54,6.49,16.91,12.36,17.29,-3.75,2.89,97.11,0.0,0.0,0.0,0.0,0.0,9.79,8.08,0.0,0.03,32.21,0.0,0.02,1.06,17.49,31.31,5.0,0.53,1.24,84.16,14.54,1.06,12.56
358,VSEQX,Vanguard Strategic Equity Fund Investor Shares,28.04,-1.13,-0.32,34.35,19.21,25.583529000000002,29.573381,Vanguard Strategic Equity Fund Investor Shares,-0.32,-1.13,25.58,29.57,Vanguard Strategic Equity Fund Investor Shares,Vanguard,7240.0,15.76,1.17,4,1995-08-13,Blend,Medium,0.17,12.73,2.4,4.0,-0.85,15.76,1.49,10.86,7.95,17.03,-11.91,1.09,98.91,0.0,0.0,0.0,0.0,5.58,18.21,14.65,8.68,3.4,11.0,4.69,0.49,3.51,14.19,15.6,4.0,-4.77,1.24,80.96,14.78,0.68,7.72
359,TRPBX,T. Rowe Price Spectrum Moderate Allocation Fund,23.13,-0.09,-0.02,25.09,18.93,22.111470999999998,23.217133,T. Rowe Price Spectrum Moderate Allocation Fund,-0.02,-0.09,22.11,23.22,T. Rowe Price Personal Strategy Balanced Fund,T. Rowe Price,2330.0,9.21,1.96,4,1994-07-28,Growth,Large,0.73,17.2,2.38,4.0,1.14,9.21,3.69,9.06,6.38,11.47,-4.5,2.39,58.39,32.93,5.95,0.15,0.16,2.97,12.48,18.1,2.55,6.96,15.28,4.28,2.12,4.09,9.79,21.39,3.0,0.66,1.04,96.18,6.52,1.16,7.43
360,FRNIX,Fidelity Advisor Simplicity RMD Income Fund Class I,58.61,0.07,0.04,58.78,57.5,58.61,58.61,Fidelity Advisor Simplicity RMD Income Fund Class I,0.04,0.07,58.61,58.61,Fidelity Advisor Simplicity RMD Income Fund Class I,Fidelity Investments,16.43,4.34,1.92,5,2007-08-29,Blend,Large,0.47,14.1,1.75,5.0,1.44,4.34,3.02,5.07,3.89,8.3,-1.8,23.24,16.55,59.85,0.03,0.21,0.08,4.91,12.17,22.48,2.68,6.47,11.04,1.98,2.15,6.78,10.33,19.02,4.0,0.8,0.44,83.49,2.89,1.26,8.66
361,LSGRX,Loomis Sayles Growth Fund Class Y,19.18,0.58,0.11,19.7,14.5,18.061176,17.983014999999998,Loomis Sayles Growth Fund Class Y,0.11,0.58,18.06,17.98,Loomis Sayles Growth Fund Class Y,Natixis Funds,8390.0,15.94,0.55,4,1991-05-15,Growth,Large,0.65,22.25,6.07,4.0,2.79,15.94,12.41,16.86,14.17,17.24,-2.48,0.95,99.05,0.0,0.0,0.0,0.0,0.0,18.53,11.65,0.0,13.99,13.39,0.0,0.0,1.8,6.93,33.7,3.0,2.51,1.05,81.78,12.5,1.21,14.8
362,WSMDX,William Blair Small-Mid Cap Growth Fund Class I,26.82,-0.41,-0.11,29.21,18.23,24.38353,25.847353,William Blair Small-Mid Cap Growth Fund Class I,-0.11,-0.41,24.38,25.85,William Blair Small-Mid Cap Growth Fund Class I,William Blair,2650.0,17.09,0.0,4,2003-12-28,Growth,Medium,1.1,21.19,3.89,5.0,0.12,17.09,8.94,17.54,12.15,17.92,-2.06,0.97,99.03,0.0,0.0,0.0,0.0,5.81,13.07,7.21,5.73,7.79,19.16,0.0,0.71,0.94,20.11,19.48,3.0,1.74,1.18,81.9,14.04,1.14,13.74
363,FWTFX,Fidelity Advisor Worldwide Fund Class M,27.54,0.66,0.18,29.43,20.14,25.667645999999998,26.437426000000002,Fidelity Advisor Worldwide Fund Class M,0.18,0.66,25.67,26.44,Fidelity Advisor Worldwide Fund Class M,Fidelity Investments,2480.0,13.71,0.0,4,2009-02-18,Growth,Large,1.52,20.78,3.83,4.0,2.5,13.71,5.91,12.32,7.13,13.12,-4.89,2.61,97.36,0.0,0.04,0.0,0.0,1.96,10.32,23.96,1.99,7.96,14.42,1.06,3.23,3.64,10.37,21.1,3.0,4.53,0.92,71.59,11.56,0.96,11.94
364,LGMAX,Loomis Sayles Global Allocation Fund Class A,23.92,0.46,0.11,25.24,18.78,22.728529,23.526323,Loomis Sayles Global Allocation Fund Class A,0.11,0.46,22.73,23.53,Loomis Sayles Global Allocation Fund Class A,Natixis Funds,2600.0,11.69,0.7,5,2006-01-31,Growth,Large,1.16,19.05,3.91,5.0,1.36,11.69,4.25,10.29,7.09,12.69,-5.23,4.38,69.94,24.83,0.25,0.1,0.5,8.16,13.77,20.68,2.71,4.51,10.08,0.0,0.0,1.05,17.51,21.53,4.0,0.17,1.31,89.76,8.48,1.05,6.87
365,BCSSX,Brown Capital Management Small Company Fund Institutional Shares,111.38,0.11,0.120005,113.27,74.04,98.803825,99.7286,Brown Capital Management Small Company Fund Institutional Shares,0.12,0.11,98.8,99.73,Brown Capital Management Small Company Fund Institutional Shares,Brown Capital Management,5070.0,19.52,0.0,5,2011-12-14,Growth,Medium,1.06,39.65,5.62,5.0,-0.79,19.52,11.28,20.82,13.75,19.75,-0.47,4.33,95.67,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,27.29,0.0,0.0,1.0,7.35,60.14,5.0,2.83,1.39,63.71,18.68,1.04,14.07
366,FRNAX,Fidelity Advisor Simplicity RMD Income Fund Class A,58.59,0.09,0.05,58.75,57.48,58.59,58.59,Fidelity Advisor Simplicity RMD Income Fund Class A,0.05,0.09,58.59,58.59,Fidelity Advisor Simplicity RMD Income Fund Class A,Fidelity Investments,16.43,4.28,1.7,4,2007-08-29,Blend,Large,0.72,14.1,1.75,4.0,1.42,4.28,2.79,4.81,3.63,8.03,-2.03,23.24,16.55,59.85,0.03,0.21,0.08,4.91,12.17,22.48,2.68,6.47,11.04,1.98,2.15,6.78,10.33,19.02,3.0,0.56,0.44,83.47,2.89,1.18,8.06
367,CAMYX,Cambiar International Equity Institutional,21.87,1.96,0.42,27.75,17.02,20.376764,23.650955,Cambiar International Equity Institutional,0.42,1.96,20.38,23.65,Cambiar International Equity Institutional,Cambiar Funds,2820.0,9.06,0.87,2,2012-11-29,Blend,Large,0.9,12.2,1.37,2.0,-0.59,9.06,-9.85,3.35,1.87,9.97,-18.06,4.0,96.0,0.0,0.0,0.0,0.0,9.84,5.97,25.54,0.0,7.07,10.7,4.74,1.9,7.62,17.6,9.01,3.0,-4.45,1.0,89.78,11.18,0.23,2.05
368,TRVLX,T. Rowe Price Value Fund,32.35,-0.37,-0.119997,39.17,24.03,30.577941999999997,34.227425,T. Rowe Price Value Fund,-0.12,-0.37,30.58,34.23,T. Rowe Price Value Fund,T. Rowe Price,24310.0,12.46,1.45,4,1994-09-29,Blend,Large,0.8,15.86,2.3,4.0,1.15,12.46,4.04,10.15,7.63,15.78,-9.44,0.89,98.33,0.09,0.0,0.69,0.0,2.22,3.87,16.11,2.57,8.05,19.53,9.93,3.07,8.67,8.41,17.55,3.0,-1.89,0.9,92.47,10.02,0.89,9.86
369,CAMOX,Cambiar Opportunity Fund Class Investor,20.38,-0.54,-0.11,24.0,15.0,18.952353,20.746544,Cambiar Opportunity Fund Class Investor,-0.11,-0.54,18.95,20.75,Cambiar Opportunity Fund Class Investor,Cambiar Funds,242.18,10.41,1.09,2,1998-06-29,Value,Large,0.85,13.39,1.91,2.0,0.2,10.41,-1.19,8.19,5.88,12.75,-13.28,3.49,96.51,0.0,0.0,0.0,0.0,3.01,8.51,19.92,2.02,8.33,11.54,2.34,3.39,7.08,14.9,18.96,5.0,-4.93,1.02,81.78,12.08,0.6,6.76
370,TADGX,T. Rowe Price Dividend Growth Fund Advisor Class,49.56,0.3,0.15,55.58,37.13,46.917355,49.809779999999996,T. Rowe Price Dividend Growth Fund Advisor Class,0.15,0.3,46.92,49.81,T. Rowe Price Dividend Growth Fund Advisor Class,T. Rowe Price,10240.0,12.94,1.35,4,2005-12-28,Blend,Large,0.91,18.28,3.28,3.0,1.94,12.94,12.34,13.06,10.73,14.99,-1.35,4.94,95.06,0.0,0.0,0.0,0.0,3.12,9.74,18.37,1.55,8.54,19.13,5.03,3.71,4.0,14.15,12.67,1.0,1.23,0.85,94.12,9.45,1.21,13.79
371,SGPIX,ProFunds Small Cap Growth Fund Investor Class,79.45,-2.98,-2.44,96.33,57.79,72.44147,82.76449000000001,ProFunds Small Cap Growth Fund Investor Class,-2.44,-2.98,72.44,82.76,ProFunds Small Cap Growth Fund Investor Class,ProFunds,27.85,10.38,0.0,3,2001-09-03,Growth,Small,1.55,18.6,2.47,3.0,-2.87,10.38,1.99,12.08,7.73,15.75,-5.78,0.15,99.85,0.0,0.0,0.0,0.0,5.67,12.65,15.05,8.08,2.9,16.62,2.3,1.93,2.31,15.33,17.16,2.0,-3.56,1.25,67.58,16.35,0.7,8.62
372,MCINX,MainStay MacKay Convertible Fund Investor Class,18.51,0.05,0.01,19.36,14.38,17.342057999999998,17.68978,MainStay MacKay Convertible Fund Investor Class,0.01,0.05,17.34,17.69,MainStay MacKay Convertible Fund Investor Class,MainStay,1340.0,12.14,0.84,3,2008-02-27,Value,Large,1.14,13.94,2.02,3.0,0.34,12.14,6.44,10.63,6.75,11.54,-2.8,0.0,6.75,0.0,4.69,5.33,83.23,0.0,0.0,12.72,3.45,15.83,10.57,0.0,0.0,17.07,40.35,0.0,4.0,0.59,1.3,78.21,9.01,1.02,7.18
373,PAGSX,T. Rowe Price Global Stock Fund Advisor Class,46.99,0.41,0.189997,48.71,33.18,43.24647,43.512722,T. Rowe Price Global Stock Fund Advisor Class,0.19,0.41,43.25,43.51,T. Rowe Price Global Stock Fund Advisor Class,T. Rowe Price,1610.0,17.78,0.0,5,2006-04-27,Growth,Large,1.09,22.91,3.61,5.0,1.64,17.78,7.3,17.67,11.9,15.14,-4.68,1.34,97.62,0.0,1.04,0.0,0.0,1.86,15.7,17.2,1.26,2.23,15.24,4.1,0.0,1.66,8.41,32.33,5.0,8.92,0.99,64.47,13.07,1.22,16.52
374,DROCX,Diamond Hill Research Opportunities Fund Class C,18.6,-0.91,-0.17,22.8,13.86,17.378823999999998,19.692574,Diamond Hill Research Opportunities Fund Class C,-0.17,-0.91,17.38,19.69,Diamond Hill Research Opportunities Fund Class C,Diamond Hill Funds,56.99,9.56,0.0,2,2011-12-29,Blend,Medium,2.55,12.93,1.66,3.0,-2.55,9.56,-1.03,5.06,2.56,10.1,-13.74,10.94,89.06,0.0,0.01,0.0,0.0,3.92,19.45,14.35,2.64,1.96,13.86,0.0,0.61,0.52,22.89,19.81,5.0,-8.32,1.07,76.4,13.1,0.34,3.53
375,SHSCX,BlackRock Health Sciences Opportunities Portfolio Investor C Shares,57.71,1.23,0.7,58.06,41.56,55.52529499999999,54.36441,BlackRock Health Sciences Opportunities Portfolio Investor C Shares,0.7,1.23,55.53,54.36,BlackRock Health Sciences Opportunities Portfolio Investor C Shares,BlackRock,7130.0,8.59,0.0,4,2000-10-15,Growth,Large,1.87,19.39,3.9,4.0,0.61,8.59,16.57,14.29,12.48,16.81,7.19,3.21,95.93,0.0,0.85,0.0,0.0,0.0,0.0,1.27,0.0,0.0,98.24,0.0,0.0,0.0,0.0,0.5,2.0,3.31,1.03,62.92,13.03,1.0,12.62
376,VMCCX,Virtus KAR Mid-Cap Core Fund Class C,34.0,0.06,0.02,37.08,24.48,31.009117,32.76809,Virtus KAR Mid-Cap Core Fund Class C,0.02,0.06,31.01,32.77,Virtus KAR Mid-Cap Core Fund Class C,Virtus,333.24,13.37,0.0,4,2009-06-21,Growth,Medium,1.95,18.97,4.66,4.0,0.79,13.37,5.69,12.71,11.34,0.0,-5.12,5.67,94.33,0.0,0.0,0.0,0.0,3.13,13.91,13.36,0.0,7.19,23.33,0.0,0.0,0.0,25.24,13.84,1.0,-0.37,0.97,89.88,11.03,1.03,11.72
377,VMGIX,Vanguard Mid-Cap Growth Index Fund Investor Shares,62.53,0.42,0.26,67.04,42.82,57.437943000000004,59.128235,Vanguard Mid-Cap Growth Index Fund Investor Shares,0.26,0.42,57.44,59.13,Vanguard Mid-Cap Growth Index Fund Investor Shares,Vanguard,13110.0,19.55,0.59,4,2006-08-23,Growth,Medium,0.19,24.95,3.5,3.0,2.56,19.55,10.92,13.28,9.81,16.48,-5.74,0.47,99.53,0.0,0.0,0.0,0.0,2.81,10.12,6.84,8.98,3.54,13.82,0.27,1.04,6.33,20.42,25.83,3.0,-1.42,1.12,88.96,12.77,0.94,10.7
378,JVARX,JPMorgan Value Advantage Fund Class R5,29.82,-1.26,-0.379999,37.81,22.11,27.949704999999998,32.77735,JPMorgan Value Advantage Fund Class R5,-0.38,-1.26,27.95,32.78,JPMorgan Value Advantage Fund Class R5,JPMorgan,10970.0,12.5,1.71,4,2016-09-08,Value,Large,0.74,14.01,1.67,4.0,0.56,12.5,5.29,10.72,7.51,16.24,-9.06,3.14,96.86,0.0,0.0,0.0,0.0,2.5,12.92,30.34,6.9,5.12,9.57,5.6,3.93,9.17,6.68,7.28,3.0,-2.18,0.98,85.18,11.36,0.84,9.64
379,DPSYX,BNY Mellon Structured MidCap Fund Class Y,22.65,-1.48,-0.34,28.23,15.74,20.651764,24.063456,BNY Mellon Structured MidCap Fund Class Y,-0.34,-1.48,20.65,24.06,Dreyfus Structured MidCap Fund Class Y,Dreyfus,156.52,13.23,0.48,3,2013-06-30,Blend,Medium,0.86,14.02,2.21,3.0,-1.13,13.23,-1.4,8.37,6.58,15.5,-15.53,0.51,99.49,0.0,0.0,0.0,0.0,3.31,19.88,15.63,7.68,2.33,12.52,4.36,0.0,2.95,18.75,12.61,3.0,-5.72,1.11,81.81,13.16,0.58,6.38
380,CSRIX,Cohen & Steers Institutional Realty Shares,39.93,0.45,0.18,50.5,29.57,37.565292,42.901398,Cohen & Steers Institutional Realty Shares,0.18,0.45,37.57,42.9,Cohen & Steers Institutional Realty Shares,Cohen & Steers,3230.0,17.15,3.5,4,2000-02-13,Growth,Medium,0.75,47.28,2.34,4.0,4.12,17.15,20.37,7.21,9.84,18.51,-3.99,0.79,99.21,0.0,0.0,0.0,0.0,0.0,0.68,0.0,87.67,0.0,0.0,0.0,10.63,0.0,1.03,0.0,3.0,-0.29,0.73,31.23,13.08,0.5,8.16
381,SGENX,First Eagle Global Fund Class A,52.77,-0.02,-0.01,60.83,42.17,50.509705,54.134117,First Eagle Global Fund Class A,-0.01,-0.02,50.51,54.13,First Eagle Global Fund Class A,First Eagle,49610.0,9.88,0.73,5,1970-04-27,Blend,Large,1.11,15.63,1.48,4.0,0.43,9.88,1.71,6.85,4.59,10.15,-8.51,13.63,76.37,1.07,8.93,0.0,0.0,12.91,7.1,17.77,2.79,10.78,5.08,0.32,5.88,8.25,15.61,13.51,3.0,-2.24,1.18,89.11,7.67,0.73,4.7
382,MGBIX,AMG Managers Loomis Sayles Bond Fund Class I,26.32,0.0,0.0,27.75,24.44,25.954117,26.696398,AMG Managers Loomis Sayles Bond Fund Class I,0.0,0.0,25.95,26.7,AMG Managers Loomis Sayles Bond Fund Class I,AMG Funds,1220.0,4.05,3.37,4,2013-03-31,Value,Large,0.5,10.38,1.6,4.0,1.59,4.05,3.12,3.78,2.95,7.63,-1.72,13.94,1.48,82.21,0.0,0.93,1.44,0.0,0.0,0.0,0.0,0.0,24.15,0.0,54.56,0.0,0.0,21.29,4.0,1.86,0.8,59.78,3.03,0.81,3.1
383,PRZIX,T. Rowe Price Emerging Markets Stock Fund I Class,39.01,-0.54,-0.209997,48.59,32.93,38.124413,42.315661999999996,T. Rowe Price Emerging Markets Stock Fund I Class,-0.21,-0.54,38.12,42.32,T. Rowe Price Emerging Markets Stock Fund I Class,T. Rowe Price,12960.0,13.92,0.68,5,2015-08-27,Growth,Large,1.07,17.19,2.77,5.0,2.4,13.92,-6.93,13.36,6.76,11.01,-15.96,3.65,96.35,0.0,0.0,0.0,0.0,0.92,18.42,24.62,0.59,16.62,0.54,0.57,0.0,0.54,3.54,33.64,4.0,4.42,1.11,69.91,14.07,0.87,10.85
384,PARLX,T. Rowe Price Retirement 2045 Fund Advisor Class,17.02,0.0,0.0,19.33,12.84,16.006176,17.277279,T. Rowe Price Retirement 2045 Fund Advisor Class,0.0,0.0,16.01,17.28,T. Rowe Price Retirement 2045 Fund Advisor Class,T. Rowe Price,8760.0,12.15,1.07,5,2007-05-30,Growth,Large,0.97,16.57,2.15,5.0,1.22,12.15,3.03,10.68,7.22,13.39,-7.78,2.33,87.94,9.5,0.05,0.11,0.07,4.26,12.38,17.91,2.7,7.46,14.73,4.26,2.54,4.31,10.17,19.26,4.0,-0.42,1.46,95.57,9.16,1.01,6.42
385,VTCIX,Vanguard Tax-Managed Capital Appreciation Fund Institutional Shares,77.82,-0.22,-0.17,87.07,56.98,73.20264399999999,77.12316,Vanguard Tax-Managed Capital Appreciation Fund Institutional Shares,-0.17,-0.22,73.2,77.12,Vanguard Tax-Managed Capital Appreciation Fund Institutional Shares,Vanguard,10160.0,14.03,1.72,5,1999-02-23,Blend,Large,0.06,17.26,2.91,5.0,1.67,14.03,8.95,13.8,10.76,16.15,-4.95,0.02,99.98,0.0,0.0,0.0,0.0,2.67,12.73,15.39,3.04,7.09,14.0,3.23,3.4,5.07,10.82,22.56,3.0,0.12,1.01,99.64,10.88,1.13,12.35
386,USBLX,USAA Growth and Tax Strategy Fund,20.9,-0.14,-0.03,22.66,17.69,20.199410999999998,21.079705999999998,USAA Growth and Tax Strategy Fund,-0.03,-0.14,20.2,21.08,USAA Growth and Tax Strategy Fund,USAA,512.09,7.72,2.37,5,1989-01-10,Blend,Large,0.62,16.69,2.91,5.0,1.93,7.72,6.72,7.52,6.78,10.1,-1.95,0.3,47.77,51.93,0.0,0.0,0.0,2.5,11.64,16.04,2.43,7.58,14.53,3.32,3.45,5.4,10.62,22.48,3.0,0.54,0.84,87.67,5.5,1.11,7.41
387,LCGFX,William Blair Large Cap Growth Fund Class I,17.07,0.18,0.030001,17.93,12.36,16.048824,16.005074,William Blair Large Cap Growth Fund Class I,0.03,0.18,16.05,16.01,William Blair Large Cap Growth Fund Class I,William Blair,209.92,15.8,0.1,4,1999-12-26,Growth,Large,0.8,27.81,7.04,4.0,3.17,15.8,15.39,18.37,14.73,17.28,5.21,1.91,98.09,0.0,0.0,0.0,0.0,2.88,19.09,11.68,0.0,8.67,15.46,0.0,0.0,0.0,6.85,35.38,3.0,4.6,0.98,81.56,11.66,1.4,17.45
388,GBATX,GMO Strategic Opportunities Allocation Fund Class III,18.13,-0.11,-0.02,21.28,14.71,17.410294,19.021618,GMO Strategic Opportunities Allocation Fund Class III,-0.02,-0.11,17.41,19.02,GMO Strategic Opportunities Allocation Fund Class III,GMO,922.02,8.45,3.22,4,2005-05-30,Value,Large,0.6,10.1,1.59,4.0,0.77,8.45,-1.81,7.02,3.5,8.92,-9.51,5.29,68.21,14.75,11.43,0.24,0.09,7.72,11.47,18.93,3.14,9.33,11.61,1.24,3.35,5.71,10.22,17.29,3.0,-2.03,1.18,87.55,7.67,0.75,4.87
389,TOECX,Touchstone Mid Cap Growth Fund Class C,18.25,0.27,0.05,20.55,12.45,16.629412,17.886543,Touchstone Mid Cap Growth Fund Class C,0.05,0.27,16.63,17.89,Touchstone Mid Cap Growth Fund Class C,Touchstone,1100.0,20.86,0.0,3,1994-10-02,Growth,Medium,2.05,23.42,3.98,3.0,2.44,20.86,11.91,14.49,10.02,15.0,-4.52,2.63,97.37,0.0,0.0,0.0,0.0,1.18,13.87,6.38,1.58,1.08,12.96,0.0,2.47,4.46,27.11,28.91,3.0,-0.32,1.12,86.74,12.93,1.02,11.79
390,FSTCX,Fidelity Select Telecommunications Portfolio,63.1,-0.32,-0.2,66.96,50.44,60.050587,60.397569999999995,Fidelity Select Telecommunications Portfolio,-0.2,-0.32,60.05,60.4,Fidelity Select Telecommunications Portfolio,Fidelity Investments,284.66,8.83,1.87,3,1985-07-28,Value,Large,0.84,14.82,1.55,3.0,2.09,8.83,6.88,4.45,5.75,11.63,-8.02,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,93.31,0.0,0.0,6.2,3.0,-3.38,0.76,41.76,11.82,0.32,4.15
391,VHCAX,Vanguard Capital Opportunity Fund Admiral Shares,144.22,-0.89,-1.3,167.06,109.36,136.19618,147.58411999999998,Vanguard Capital Opportunity Fund Admiral Shares,-1.3,-0.89,136.2,147.58,Vanguard Capital Opportunity Fund Admiral Shares,Vanguard,16930.0,12.57,0.76,4,2001-11-11,Growth,Large,0.36,13.6,2.94,4.0,-0.94,12.57,6.57,16.99,12.44,17.38,-3.69,2.89,97.11,0.0,0.0,0.0,0.0,0.0,9.79,8.08,0.0,0.03,32.21,0.0,0.02,1.06,17.49,31.31,5.0,0.59,1.24,84.21,14.54,1.07,12.62
392,AKRIX,Akre Focus Fund Institutional Class,48.6,0.98,0.47000299999999995,50.12,34.66,44.926178,45.309193,Akre Focus Fund Institutional Class,0.47,0.98,44.93,45.31,Akre Focus Fund Institutional Class,Akre,9820.0,19.34,0.0,5,2009-08-30,Growth,Large,1.05,23.15,4.43,5.0,4.92,19.34,20.92,20.72,15.05,0.0,5.55,5.37,94.63,0.0,0.0,0.0,0.0,0.0,11.06,44.79,0.0,5.45,2.32,0.0,19.11,0.0,8.6,8.67,2.0,7.77,0.87,80.17,10.46,1.74,22.34
393,NHMRX,Nuveen High Yield Municipal Bond Fund Class I,16.32,0.25,0.040001,18.83,14.63,15.956764999999999,17.325663,Nuveen High Yield Municipal Bond Fund Class I,0.04,0.25,15.96,17.33,Nuveen High Yield Municipal Bond Fund Class I,Nuveen,18360.0,4.59,5.27,5,1999-06-06,Value,Medium,0.78,5.31,1.13,5.0,2.38,4.59,7.48,5.64,7.22,10.37,2.0,1.08,0.53,97.1,1.29,0.0,0.0,0.42,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.67,0.0,4.0,2.37,1.35,88.68,4.95,0.88,3.21
394,COGRX,Columbia Select Global Growth Fund Class R,17.48,0.46,0.08,17.94,12.32,16.13206,15.983603,Columbia Select Global Growth Fund Class R,0.08,0.46,16.13,15.98,Columbia Select Global Growth Fund Class R,Columbia,71.0,22.03,0.0,4,2008-04-29,Growth,Large,1.62,27.9,4.08,4.0,2.51,22.03,-2.7,11.14,6.48,14.13,-14.88,17.46,82.54,0.0,0.0,0.0,0.0,0.0,19.5,13.62,0.0,4.48,18.62,0.0,0.0,2.22,4.96,36.6,5.0,1.69,1.28,65.74,16.66,0.64,7.72
395,DREGX,Driehaus Emerging Markets Growth Fund Investor Class,34.73,-0.49,-0.169998,40.78,28.19,33.71206,36.27456,Driehaus Emerging Markets Growth Fund Investor Class,-0.17,-0.49,33.71,36.27,Driehaus Emerging Markets Growth Fund Investor Class,Driehaus,1640.0,10.75,0.44,5,1997-12-30,Growth,Large,1.43,14.89,2.18,4.0,2.03,10.75,-9.07,10.92,3.43,10.82,-16.27,11.0,88.57,0.0,0.43,0.0,0.0,3.06,15.67,30.26,1.43,12.08,2.81,0.68,2.32,7.08,4.91,19.72,2.0,2.83,0.99,73.29,12.26,0.8,9.69
396,BIPSX,ProFunds Biotechnology UltraSector Fund Service Class,52.13,1.01,0.52,52.8,34.06,49.332943,46.601765,ProFunds Biotechnology UltraSector Fund Service Class,0.52,1.01,49.33,46.6,ProFunds Biotechnology UltraSector Fund Service Class,ProFunds,213.45,11.2,0.0,3,2000-06-18,Growth,Large,2.43,13.8,4.95,5.0,-1.68,11.2,0.51,8.27,7.38,20.24,-13.09,27.52,72.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,-13.91,2.09,55.71,30.05,0.37,3.34
397,FIDLX,Fidelity Advisor Large Cap Fund Class Z,28.14,-1.16,-0.33,35.69,20.94,26.454117,30.056911,Fidelity Advisor Large Cap Fund Class Z,-0.33,-1.16,26.45,30.06,Fidelity Advisor Large Cap Fund Class Z,Fidelity Investments,1160.0,14.16,1.72,4,2017-01-31,Value,Large,0.53,14.06,2.11,4.0,0.65,14.16,6.72,13.34,8.32,17.05,-9.05,1.98,97.14,0.13,0.75,0.0,0.0,1.17,3.71,21.55,0.51,9.4,16.39,0.84,5.22,12.38,13.26,15.56,5.0,-1.04,1.09,88.1,12.45,0.97,11.05
398,THOCX,Thornburg Global Opportunities Fund Class C,26.4,-0.68,-0.18,30.94,20.1,24.761470000000003,27.132132000000002,Thornburg Global Opportunities Fund Class C,-0.18,-0.68,24.76,27.13,Thornburg Global Opportunities Fund Class C,Thornburg,1470.0,12.18,0.93,2,2006-07-27,Blend,Large,2.03,13.45,1.46,3.0,0.87,12.18,-6.65,3.88,4.45,13.37,-21.51,1.56,98.44,0.0,0.0,0.0,0.0,13.02,13.13,14.65,4.96,3.62,2.15,0.0,4.33,5.18,19.99,18.98,4.0,-3.73,1.0,69.91,12.58,0.26,2.6
