,Symbol,Name,Change,%_Change,50_Day_Avg,200_Day_Avg
311,TMDIX,AMG TimesSquare Mid Cap Growth Fund Class Z,0.07,0.38,16.87,18.0
312,QMORX,AQR Large Cap Momentum Style Fund Class R6,0.08,0.38,19.8,20.99
313,FGDKX,Fidelity Growth Discovery Fund Class K,-0.01,-0.02,39.35,38.97
314,FIRSX,Fidelity Advisor Managed Retirement 2015 Fund,0.0,0.0,51.64,52.83
315,LOGBX,Scharf Multi-Asset Opportunity Fund Retail Class,0.12,0.38,30.83,32.24
316,EWENX,Wells Fargo Intrinsic World Equity Fund - Class Inst,0.07,0.37,18.03,20.14
317,BIGFX,Baron International Growth Fund Retail Shares,0.08,0.35,21.15,22.5
318,TROCX,Touchstone Global ESG Equity Fund - Class I,0.07,0.35,18.99,20.69
319,JLGAX,JAG Large Cap Growth Fund Class A,0.06,0.35,16.39,16.59
320,APGCX,AB Large Cap Growth Fund Class C,0.15,0.34,40.76,40.26
321,APGAX,AB Large Cap Growth Fund Class A,0.21,0.34,57.4,56.49
322,NWQCX,Nuveen NWQ Flexible Income Fund Class C,0.07,0.34,20.04,21.14
323,NWQAX,Nuveen NWQ Flexible Income Fund Class A,0.07,0.34,20.08,21.19
324,APGZX,AB Large Cap Growth Fund Class Z,0.23,0.34,63.16,62.1
325,TDMTX,Templeton Developing Markets Trust Class C,0.0,0.0,17.2,19.3
326,PLBBX,Plumb Balanced Fund,0.11,0.34,30.75,31.71
327,APGYX,AB Large Cap Growth Fund Advisor Class,0.23,0.34,63.34,62.28
328,NCOIX,Nuveen Symphony High Yield Income Fund Class I,0.06,0.34,17.4,18.93
329,DSMLX,Touchstone Large Company Growth Fund Class Institutional,0.15,0.33,43.2,43.41
330,GPRIX,Grandeur Peak Global Reach Fund Institutional Class,0.05,0.32,14.03,14.88
331,RCLIX,T. Rowe Price U.S. Large-Cap Core Fund I Class,0.08,0.32,23.72,25.2
332,PRGIX,T. Rowe Price Growth and Income Fund,0.09,0.32,26.74,28.45
333,TGTIX,T. Rowe Price Growth and Income Fund I Class,0.09,0.32,26.74,28.46
334,MGBIX,AMG Managers Loomis Sayles Bond Fund Class I,0.0,0.0,25.95,26.7
335,ALCKX,AB Large Cap Growth Fund Class K,0.2,0.32,58.43,57.51
336,INPIX,ProFunds Internet UltraSector Fund Investor Class,0.0,0.0,95.63,90.48
337,BGLUX,Baron Global Advantage Fund R6 Shares,0.11,0.32,31.42,29.75
338,TSAGX,Touchstone Large Company Growth Fund Class A,0.14,0.31,42.58,42.82
339,BUFEX,Buffalo Large Cap Fund,0.11,0.31,33.25,33.75
340,TEQAX,Touchstone Global ESG Equity Fund - Class A,0.06,0.31,18.26,19.9
341,RYHGX,Rydex High Yield Strategy Fund Class H,0.07,0.31,22.02,23.63
342,RYHDX,Rydex High Yield Strategy Fund Class A,0.07,0.31,22.04,23.66
343,FADTX,Fidelity Advisor Technology Fund Class A,-0.13,-0.2,59.92,58.69
344,FTHCX,Fidelity Advisor Technology Fund Class C,-0.11,-0.21,48.49,47.57
345,VASIX,Vanguard LifeStrategy Income Fund Investor Shares,0.0,0.0,16.11,16.18
346,TADGX,T. Rowe Price Dividend Growth Fund Advisor Class,0.15,0.3,46.92,49.81
347,PRDGX,T. Rowe Price Dividend Growth Fund,0.15,0.3,46.98,49.88
348,BINIX,Baron International Growth Fund Institutional Shares,0.07,0.3,21.49,22.85
349,TIQIX,Touchstone Global ESG Equity Fund - Class Y,0.06,0.3,18.96,20.66
350,VAIPX,Vanguard Inflation-Protected Securities Fund Admiral Shares,0.08,0.3,27.03,26.41
351,TBGVX,"Tweedy, Browne Global Value Fund",0.07,0.29,22.94,25.53
352,VWUAX,Vanguard U.S. Growth Fund Admiral Shares,0.36,0.29,114.33,111.5
353,GEDFX,GMO Emerging Domestic Opportunities VI,0.07,0.29,23.71,23.71
354,FEGIX,First Eagle Gold Fund Class I,0.07,0.29,23.83,20.57
355,NWQIX,Nuveen NWQ Flexible Income Fund Class I,0.06,0.29,20.1,21.21
356,NQWFX,Nuveen NWQ Flexible Income Fund Class R6,0.06,0.29,20.21,21.33
357,PDGIX,T. Rowe Price Dividend Growth Fund I Class,0.14,0.28,46.97,49.87
358,FEGOX,First Eagle Gold Fund Class C,0.06,0.28,21.12,18.27
359,TRULX,T. Rowe Price U.S. Large-Cap Core Fund,0.07,0.28,23.69,25.17
360,PAULX,T. Rowe Price U.S. Large-Cap Core Fund Advisor Class,0.07,0.28,23.69,25.18
361,PRDMX,T. Rowe Price Diversified Mid Cap Growth Fund,0.1,0.28,33.11,34.54
362,TOECX,Touchstone Mid Cap Growth Fund Class C,0.05,0.27,16.63,17.89
363,BLYAX,American Beacon Bridgeway Large Cap Growth Fund A Class,0.08,0.27,27.49,28.72
364,FTCLX,Franklin Corefolio Allocation Fund Class C,0.05,0.27,17.32,18.52
365,BLYYX,American Beacon Bridgeway Large Cap Growth Fund Y Class,0.08,0.27,27.71,28.93
366,FCAZX,Franklin Corefolio Allocation Fund Advisor Class,0.05,0.27,17.66,18.87
367,FSTBX,Federated Global Allocation Fund Class A Shares,0.05,0.26,17.98,18.92
368,JENYX,Jensen Quality Growth Fund Class Y,0.13,0.26,47.32,49.44
369,JENIX,Jensen Quality Growth Fund Class I,0.13,0.26,47.33,49.45
370,TTMIX,T. Rowe Price Communications & Technology Fund I Class,0.37,0.26,132.61,125.58
371,TILRX,TIAA-CREF Large-Cap Growth Fund Retirement Class,0.06,0.26,21.79,21.5
372,SGGDX,First Eagle Gold Fund Class A,0.06,0.26,23.12,19.97
373,RYHHX,Rydex High Yield Strategy Fund Class C,0.05,0.26,19.04,20.5
374,TILHX,TIAA-CREF Large Cap Growth Fund Advisor Class,0.06,0.26,21.92,21.64
375,PRMTX,T. Rowe Price Communications & Technology Fund Investor Class,0.36,0.26,132.31,125.32
376,SGRAX,Wells Fargo Growth Fund - Class A,0.09,0.26,32.31,32.69
377,ACSLX,American Century Select Fund C Class,0.18,0.25,66.57,67.07
378,ARYCX,American Century Real Estate Fund C Class,0.06,0.25,22.83,26.86
379,FDIGX,Fidelity Advisor Consumer Staples Fund I Class,0.2,0.25,77.39,82.8
380,FCRFX,Fidelity Advisor Managed Retirement 2025 Fund Class C,0.13,0.25,52.44,52.44
381,CIPMX,Champlain Mid Cap Fund Advisor Class,0.05,0.25,18.38,19.13
382,TWCAX,American Century Select Fund A Class,0.2,0.25,76.33,76.68
383,NHCCX,Nuveen High Yield Municipal Bond Fund Class C,0.04,0.25,15.94,17.31
384,NHMRX,Nuveen High Yield Municipal Bond Fund Class I,0.04,0.25,15.96,17.33
385,NHMAX,Nuveen High Yield Municipal Bond Fund Class A,0.04,0.25,15.96,17.33
386,TWSIX,American Century Select Fund I Class,0.21,0.25,80.18,80.43
387,ASDEX,American Century Select Fund R6 Class,0.21,0.25,80.26,80.49
388,TEGYX,Touchstone Mid Cap Growth Fund Class Y,0.08,0.25,29.78,31.7
389,FITTX,Fidelity Advisor Managed Retirement 2025 Fund Class M,0.13,0.25,53.19,53.19
390,TEGIX,Touchstone Mid Cap Growth Fund Institutional Class,0.08,0.24,30.09,32.04
391,AVEGX,Ave Maria Growth Fund,0.09,0.24,34.08,35.91
392,GIOCX,Guggenheim Macro Opportunities Fund Class C,0.06,0.24,24.34,25.15
393,GIOAX,Guggenheim Macro Opportunities Fund Class A,0.06,0.24,24.35,25.16
394,GIOPX,Guggenheim Macro Opportunities Fund Class P,0.06,0.24,24.36,25.17
395,CIPIX,Champlain Mid Cap Fund Institutional Class,0.05,0.24,18.83,19.58
396,GIOIX,Guggenheim Macro Opportunities Fund Institutional Class,0.06,0.24,24.38,25.2
397,TWCIX,American Century Select Fund Investor Class,0.2,0.24,78.54,78.83
398,ADCCX,American Century Disciplined Growth Fund Class C,0.05,0.24,19.78,19.77
399,SGRKX,Wells Fargo Growth Fund - Class Admin,0.1,0.24,38.57,38.89
400,ASERX,American Century Select Fund R Class,0.19,0.24,75.32,75.71
401,FCRWX,Fidelity Advisor Simplicity RMD 2020 Fund Class C,0.14,0.24,59.38,59.38
402,FGTRX,Franklin Growth Allocation Fund Class R,0.04,0.24,16.17,17.33
403,SGRNX,Wells Fargo Growth Fund - Class Inst,0.11,0.24,42.89,43.15
404,SGRHX,Wells Fargo Growth Fund - Class R6,0.11,0.23,43.06,43.32
405,QGRCX,Invesco Oppenheimer Global Allocation Fund Class C,0.04,0.23,16.45,17.03
406,FTRVX,Fidelity Advisor Managed Retirement 2020 Fund Class M,0.12,0.23,51.57,51.57
407,FARWX,Fidelity Advisor Simplicity RMD 2020 Fund Class A,0.14,0.23,60.29,60.29
408,NFRAX,Nuveen Symphony Floating Rate Income Fund Class A,0.04,0.23,16.93,18.05
409,FTRWX,Fidelity Advisor Simplicity RMD 2020 Fund Class M,0.14,0.23,60.33,60.33
410,NFRIX,Nuveen Symphony Floating Rate Income Fund Class I,0.04,0.23,16.95,18.07
411,NFRFX,Nuveen Symphony Floating Rate Income Fund Class R6,0.04,0.23,17.01,18.13
412,QGRNX,Invesco Oppenheimer Global Allocation Fund Class R,0.04,0.23,16.99,17.57
413,FDVAX,Fidelity Advisor Diversified International Fund Class A,0.31,1.39,21.14,22.54
414,TEGAX,Touchstone Mid Cap Growth Fund Class A,0.07,0.22,28.45,30.31
415,IFPUX,Independent Franchise Partners US Equity Fund,0.04,0.22,17.06,17.86
416,FZABX,Fidelity Advisor Diversified International Fund Class Z,0.32,1.41,21.48,22.89
417,FSBCX,Federated Global Allocation Fund Class C Shares,0.04,0.22,17.44,18.34
418,FSBBX,Federated Global Allocation Fund Class B Shares,0.04,0.22,17.52,18.42
419,FCRVX,Fidelity Advisor Managed Retirement 2020 Fund Class C,0.11,0.22,50.93,50.93
420,TIRTX,TIAA-CREF Large-Cap Growth Fund Retail Class,0.05,0.21,21.87,21.59
421,TILPX,TIAA-CREF Large-Cap Growth Fund Premier Class,0.05,0.21,21.92,21.63
422,FSBKX,Federated Global Allocation Fund Class R Shares,0.04,0.21,17.85,18.77
423,LKBAX,LKCM Balanced Fund,0.05,0.21,22.47,23.34
424,HGOSX,The Hartford Growth Opportunities Fund Class R4,0.1,0.21,43.14,42.15
425,HRCAX,Harbor Capital Appreciation Fund Administrative Class,0.17,0.21,74.99,74.43
426,GMOKX,GMO Risk Premium Fund Class VI,0.0,0.0,22.8,25.45
427,SBFIX,Federated Global Allocation Fund Institutional Shares,0.04,0.21,18.09,19.03
428,GMRPX,GMO Risk Premium Fund Class III,0.0,0.0,23.0,25.66
429,PMEGX,T. Rowe Price Institutional Mid-Cap Equity Growth Fund,0.12,0.21,53.12,56.91
430,HACAX,Harbor Capital Appreciation Fund Institutional Class,0.17,0.21,76.84,76.2
431,HGOAX,The Hartford Growth Opportunities Fund Class A,0.09,0.21,40.1,39.21
432,PAMCX,T. Rowe Price Mid-Cap Growth Fund Advisor Class,0.18,0.21,80.63,85.95
433,HCAIX,Harbor Capital Appreciation Fund Investor Class,0.16,0.2,73.1,72.6
434,RRMGX,T. Rowe Price Mid-Cap Growth Fund R Class,0.17,0.2,77.7,82.89
435,RPMGX,T. Rowe Price Mid-Cap Growth Fund,0.18,0.2,83.58,89.04
436,RPTIX,T. Rowe Price Mid-Cap Growth Fund I Class,0.18,0.2,83.6,89.05
437,SMMOX,Western Asset Managed Municipals Fund Class 1,0.03,0.19,15.46,16.06
438,SHMMX,Western Asset Managed Municipals Fund Class A,0.03,0.19,15.51,16.12
439,SMMCX,Western Asset Managed Municipals Fund Class C,0.03,0.19,15.52,16.13
440,CDSIX,Calvert Short Duration Income Fund Class I,0.03,0.19,15.66,16.01
441,FURAX,Fidelity Advisor Simplicity RMD 2015 Fund Class A,0.11,0.18,59.69,59.69
442,FURIX,Fidelity Advisor Simplicity RMD 2015 Fund Class I,0.11,0.18,59.77,59.77
443,NHMCX,Nuveen High Yield Municipal Bond Fund Class C2,0.03,0.18,15.95,17.31
444,NHMFX,Nuveen High Yield Municipal Bond Fund Class R6,0.03,0.18,15.97,17.34
445,LCGFX,William Blair Large Cap Growth Fund Class I,0.03,0.18,16.05,16.01
446,PJFBX,PGIM Jennison Growth Fund- Class B,0.06,0.18,31.88,31.63
447,NFFCX,Nuveen Symphony Floating Rate Income Fund Class C,0.03,0.17,16.93,18.05
448,SXMAX,SEI Asset Allocation Trust Moderate Strategy Allocation Fund Class F,0.03,0.17,16.78,18.92
449,USWGX,USAA World Growth Fund Adviser Shares,0.04,0.17,22.09,25.36
450,JLGMX,JPMorgan Large Cap Growth Fund Class R6,0.08,0.17,43.84,42.8
451,FURCX,Fidelity Advisor Simplicity RMD 2015 Fund Class C,0.1,0.17,58.73,58.73
452,FCRSX,Fidelity Advisor Managed Retirement 2015 Fund Class C,0.09,0.17,53.03,53.03
453,FTRSX,Fidelity Advisor Managed Retirement 2015 Fund Class M,0.09,0.17,53.42,53.42
454,MTXVX,MainStay Income Builder Fund Class R3,0.03,0.17,17.58,18.72
455,MTINX,MainStay Income Builder Fund Investor Class,0.03,0.17,17.59,18.74
456,GILHX,Guggenheim Limited Duration Fund Institutional Class,0.04,0.16,24.67,24.63
457,GILPX,Guggenheim Limited Duration Fund Class P,0.04,0.16,24.68,24.64
458,GILDX,Guggenheim Limited Duration Fund A-Class,0.04,0.16,24.68,24.64
459,CLDIX,Calvert Long-Term Income Fund Class I,0.0,0.0,18.88,18.7
460,GSMFX,GMO SGM Major Markets Fund Class III,0.05,0.16,31.89,31.61
461,FBTIX,Fidelity Advisor Biotechnology Fund I Class,0.05,0.15,30.77,29.36
462,CSGCX,Calvert Balanced Fund Class C,0.05,0.15,31.72,32.67
463,FZAHX,Fidelity Advisor Growth Opportunities Fund Class Z,-0.48,-0.45,98.61,96.64
464,VWINX,Vanguard Wellesley Income Fund Investor Shares,0.04,0.15,26.31,26.8
465,CBAIX,Calvert Balanced Fund Class I,0.05,0.14,33.57,34.57
466,FBTTX,Fidelity Advisor Biotechnology Fund Class M,0.04,0.14,27.01,25.84
467,VWIAX,Vanguard Wellesley Income Fund Admiral Shares,0.09,0.14,63.74,64.92
468,GEDIX,GMO Emerging Domestic Opportunities Fund Class IV,0.03,0.13,22.37,22.37
469,TLIIX,TIAA-CREF Quant Large-Cap Growth Fund Institutional Class,0.02,0.13,14.33,14.5
470,FIARX,Fidelity Advisor Simplicity RMD 2010 Fund Class A,0.07,0.13,53.67,53.67
471,FIIRX,Fidelity Advisor Simplicity RMD 2010 Fund Class I,0.07,0.13,53.68,53.68
472,FTIRX,Fidelity Advisor Simplicity RMD 2010 Fund Class M,0.07,0.13,53.7,53.7
473,USAWX,USAA World Growth Fund,0.03,0.13,22.06,25.33
474,GMDZX,GuideStone Funds Medium-Duration Bond Fund Investor Class,0.0,0.0,15.43,15.25
475,CDICX,Calvert Short Duration Income Fund Class C,0.02,0.13,15.49,15.84
476,FSIMX,Salient Select Income Advisor,0.03,0.13,23.57,23.57
477,PYVLX,Payden Equity Income Fund,0.02,0.12,15.48,16.92
478,JENHX,Johnson Enhanced Return Fund,0.02,0.12,15.12,16.26
479,SBFCX,Victory INCORE Investment Grade Convertible Fund Class A,0.02,0.12,15.71,16.6
480,HQIIX,The Hartford Equity Income Fund Class I,0.02,0.12,16.27,17.99
481,HQISX,The Hartford Equity Income Fund Class R4,0.02,0.12,16.43,18.16
482,BTMFX,Boston Trust Midcap Fund,0.02,0.12,16.23,17.89
483,ALZFX,Alger Focus Equity Fund Class Z,0.05,0.11,41.28,40.12
484,BCSIX,Brown Capital Management Small Company Fund Investor Shares,0.12,0.11,96.63,97.61
485,TIBCX,Thornburg Investment Income Builder Fund Class C,0.02,0.11,17.48,20.16
486,TIBRX,Thornburg Investment Income Builder Fund Class R3,0.02,0.11,17.5,20.18
487,TIBIX,Thornburg Investment Income Builder Fund Class I,0.02,0.11,17.63,20.33
488,BCSSX,Brown Capital Management Small Company Fund Institutional Shares,0.12,0.11,98.8,99.73
489,GIBLX,Guggenheim Total Return Bond Fund Class P,0.03,0.11,28.19,27.64
490,GIBAX,Guggenheim Total Return Bond Fund Class A,0.03,0.11,28.2,27.65
491,GIBCX,Guggenheim Total Return Bond Fund Class C,0.03,0.11,28.2,27.65
492,GIBIX,Guggenheim Total Return Bond Fund Institutional Class,0.03,0.11,28.22,27.67
493,GIBRX,Guggenheim Total Return Bond Fund Class R6,0.03,0.1,28.24,27.69
494,SDICX,Guggenheim Investment Grade Bond Fund Class C,0.02,0.1,19.41,19.02
495,GIUSX,Guggenheim Investment Grade Bond Fund Institutional Class,0.02,0.1,19.47,19.08
496,SIUSX,Guggenheim Investment Grade Bond Fund Class A,0.02,0.1,19.49,19.1
497,SIUPX,Guggenheim Investment Grade Bond Fund Class P,0.02,0.1,19.51,19.12
498,ALCFX,Alger Focus Equity Fund Class C,0.04,0.1,37.99,37.0
499,ALAFX,Alger Focus Equity Fund Class A,0.04,0.09,40.35,39.23
500,ALGRX,Alger Focus Equity Fund Class I,0.04,0.09,40.58,39.45
501,AWEIX,CIBC Atlas Disciplined Equity Fund Institutional Class,0.02,0.09,20.69,21.54
502,IMIDX,Congress Mid Cap Growth Fund Institutional Class,0.02,0.09,19.97,21.06
503,FCPIX,Fidelity Advisor International Capital Appreciation Fund I Class,0.34,1.53,21.34,22.6
504,FIDZX,Fidelity Advisor International Capital Appreciation Fund Class Z,0.34,1.53,21.37,22.63
505,PTIAX,Performance Trust Strategic Bond Fund,0.02,0.09,22.12,22.69
506,FARPX,Fidelity Advisor Simplicity RMD 2005 Fund Class A,0.05,0.09,58.34,58.34
507,FIOCX,Fidelity Advisor Managed Retirement 2005 Fund Class C,0.05,0.09,58.4,58.4
508,FRNAX,Fidelity Advisor Simplicity RMD Income Fund Class A,0.05,0.09,58.59,58.59
509,FOCCX,AIG Focused Growth Fund Class C,0.02,0.09,21.72,22.23
510,FIOTX,Fidelity Advisor Managed Retirement 2005 Fund Class M,0.05,0.09,58.72,58.72
511,RPBAX,T. Rowe Price Balanced Fund,0.02,0.08,22.73,23.77
512,RBAIX,T. Rowe Price Balanced I Class,0.02,0.08,22.72,23.77
513,HFSAX,Hundredfold Select Alternative Fund Investor Class,0.02,0.08,23.88,23.06
514,VIMCX,Virtus KAR Mid-Cap Core Fund Class I,0.03,0.08,34.21,36.07
515,PTIMX,Performance Trust Municipal Bond Fund - Institutional Class,0.02,0.08,24.69,25.04
516,PTRMX,Performance Trust Municipal Bond Fund - A Class,0.02,0.08,24.71,25.06
517,FOCWX,AIG Focused Growth Fund Class W,0.02,0.08,24.31,24.78
518,PABGX,T. Rowe Price Blue Chip Growth Fund Advisor Class,0.09,0.07,120.69,119.37
519,VHGEX,Vanguard Global Equity Fund Investor Shares,0.02,0.07,27.35,29.61
520,FRNCX,Fidelity Advisor Simplicity RMD Income Fund Class C,0.04,0.07,58.17,58.17
521,TRBCX,T. Rowe Price Blue Chip Growth Fund,0.09,0.07,123.05,121.65
522,TWCCX,American Century Ultra Fund C Class,0.03,0.07,40.55,40.24
523,TBCIX,T. Rowe Price Blue Chip Growth Fund I Class,0.09,0.07,123.22,121.82
524,FRAPX,Fidelity Advisor Simplicity RMD 2005 Fund Class I,0.04,0.07,58.31,58.31
525,FRNTX,Fidelity Advisor Simplicity RMD Income Fund Class M,0.04,0.07,58.58,58.58
526,FRNIX,Fidelity Advisor Simplicity RMD Income Fund Class I,0.04,0.07,58.61,58.61
527,FSMEX,Fidelity Select Medical Technology and Devices Portfolio,0.93,1.58,57.61,57.83
528,AULDX,American Century Ultra Fund R6 Class,0.04,0.07,54.65,53.95
529,JDVAX,JPMorgan Diversified Fund Class A,0.01,0.07,14.47,15.48
530,JPDVX,JPMorgan Diversified Fund Class L,0.01,0.07,14.54,15.55
531,JDVSX,JPMorgan Diversified Fund Class I,0.01,0.07,14.57,15.58
532,RRBGX,T. Rowe Price Blue Chip Growth Fund Class R,0.08,0.07,115.56,114.36
533,SUSYX,SEI Institutional Managed Trust U.S. Managed Volatility Fund Class Y,0.01,0.06,14.9,16.55
534,SIIDX,Bernstein Intermediate Duration Institutional Portfolio,0.01,0.06,15.52,15.45
535,NPSFX,Nuveen Preferred Securities & Income Fund Class R6,0.01,0.06,15.65,16.65
536,PYVSX,Payden Equity Income Fund SI Class,0.01,0.06,15.5,16.94
537,NWJFX,Nationwide NYSE Arca Tech 100 Index Fund Institutional Service Class,0.06,0.06,91.7,94.45
538,JHNBX,John Hancock Bond Fund Class A,0.01,0.06,16.16,16.15
539,JBFRX,John Hancock Bond Fund Class R4,0.01,0.06,16.18,16.17
540,KWIAX,Kinetics Alternative Income Fund Advisor Class A,0.06,0.06,98.08,97.34
541,VMCCX,Virtus KAR Mid-Cap Core Fund Class C,0.02,0.06,31.01,32.77
542,CALCX,Calvert Conservative Allocation Fund Class C,0.01,0.06,16.56,17.04
543,TPLGX,T. Rowe Price Institutional Large Cap Core Growth Fund,0.03,0.06,48.2,47.66
544,CCLAX,Calvert Conservative Allocation Fund Class A,0.01,0.06,16.78,17.27
545,CFAIX,Calvert Conservative Allocation Fund Class I,0.01,0.06,16.79,17.28
546,JIBBX,JPMorgan SmartRetirement Blend Income Fund Class R5,0.01,0.06,16.9,17.48
547,JIJSX,JPMorgan SmartRetirement Blend Income Fund Class I,0.01,0.06,16.91,17.48
548,CPECX,Catalyst Dynamic Alpha Fund Class C,0.01,0.06,16.8,17.39
549,FCPCX,Fidelity Advisor International Capital Appreciation Fund Class C,0.28,1.54,17.47,18.53
550,VMACX,Virtus KAR Mid-Cap Core Fund Class A,0.02,0.05,33.52,35.37
551,TIBAX,Thornburg Investment Income Builder Fund Class A,0.01,0.05,17.51,20.18
552,TIBGX,Thornburg Investment Income Builder Fund Class R4,0.01,0.05,17.52,20.2
553,PRGTX,T. Rowe Price Global Technology Fund,0.01,0.05,17.23,16.51
554,MCINX,MainStay MacKay Convertible Fund Investor Class,0.01,0.05,17.34,17.69
555,TIBMX,Thornburg Investment Income Builder Fund Class R5,0.01,0.05,17.62,20.32
556,MCNVX,MainStay MacKay Convertible Fund Class I,0.01,0.05,17.39,17.74
557,FEYTX,Fidelity Advisor Asset Manager 85% Fund Class M,0.01,0.05,17.52,18.69
558,CPEAX,Catalyst Dynamic Alpha Fund Class A,0.01,0.05,18.08,18.69
559,BLGRX,BMO Large-Cap Growth Fund Class R6,0.01,0.05,17.66,18.07
560,FIRNX,Fidelity Simplicity RMD Income Fund,0.03,0.05,57.82,58.52
561,CAGIX,Calvert Growth Allocation Fund Class I,0.01,0.05,18.74,20.11
562,PAREX,T. Rowe Price Real Estate Fund Advisor Class,0.01,0.05,19.57,24.0
563,FCPAX,Fidelity Advisor International Capital Appreciation Fund Class A,0.32,1.54,19.97,21.16
564,CMIDX,Congress Mid Cap Growth Fund Retail Class,0.01,0.05,19.69,20.78
565,FAAIX,Fidelity Advisor Asset Manager 70% Fund I Class,0.01,0.05,20.61,21.73
566,FFNOX,Fidelity Four-in-One Index Fund,0.02,0.04,43.31,46.08
567,KWICX,Kinetics Alternative Income Fund Advisor Class C,0.04,0.04,94.21,93.59
568,RRGSX,T. Rowe Price Growth Stock Fund R Class,0.03,0.04,66.4,66.87
569,BUFTX,Buffalo Discovery Fund,0.01,0.04,22.61,23.84
570,TRSAX,T. Rowe Price Growth Stock Fund Advisor Class,0.03,0.04,69.11,69.55
571,GMODX,GMO Opportunistic Income Fund Class VI,0.01,0.04,25.05,25.67
572,PRGFX,T. Rowe Price Growth Stock Fund,0.03,0.04,70.96,71.39
573,PRUFX,T. Rowe Price Growth Stock Fund I Class,0.03,0.04,71.03,71.45
574,FMIJX,FMI International Fund Investor Class,0.01,0.04,24.39,28.67
575,FIRRX,Fidelity Simplicity RMD 2010 Fund,0.02,0.04,52.18,53.19
576,JDNAX,Janus Henderson Growth And Income Fund Class A,0.02,0.04,51.17,55.96
577,GVMCX,Government Street Mid-Cap Fund,0.01,0.04,25.65,27.48
578,FIOIX,Fidelity Advisor Managed Retirement 2005 Fund Class I,0.02,0.03,58.29,58.84
579,FIROX,Fidelity Advisor Managed Retirement 2005 Fund,0.02,0.03,58.31,58.86
580,MAPOX,Mairs & Power Balanced Fund Investor Class,0.02,0.02,89.51,94.84
581,FRQIX,Fidelity Advisor Managed Retirement 2010 Fund Class I,0.01,0.02,55.32,56.25
582,FIRMX,Fidelity Advisor Managed Retirement Income Fund,0.01,0.02,57.44,57.99
583,FRIMX,Fidelity Advisor Managed Retirement Income Fund Class I,0.01,0.02,57.48,58.0
584,FIOAX,Fidelity Advisor Managed Retirement 2005 Fund Class A,0.01,0.02,58.3,58.84
585,BTTTX,American Century Zero Coupon 2020 Fund Investor Class,0.0,0.0,108.23,107.6
586,ACTEX,American Century Zero Coupon 2020 Fund Advisor Class,0.0,0.0,102.64,102.1
587,INPSX,ProFunds Internet UltraSector Fund Service Class,-0.01,-0.01,73.46,69.65
588,PRWAX,T. Rowe Price New America Growth Fund,-0.01,-0.02,54.19,54.18
589,BTTRX,American Century Zero Coupon 2025 Fund Investor Class,-0.02,-0.02,114.49,110.34
590,PAWAX,T. Rowe Price New America Growth Fund Advisor Class,-0.01,-0.02,52.78,52.8
591,RYPDX,Rydex Consumer Products Fund Class A,-0.01,-0.02,51.65,54.32
592,SGIIX,First Eagle Global Fund Class I,-0.01,-0.02,50.78,54.42
593,SGENX,First Eagle Global Fund Class A,-0.01,-0.02,50.51,54.13
594,FIIVX,Fidelity Advisor Managed Retirement 2020 Fund Class I,-0.01,-0.02,49.5,51.03
595,FIRVX,Fidelity Advisor Managed Retirement 2020 Fund,-0.01,-0.02,49.49,51.02
596,FESGX,First Eagle Global Fund Class C,-0.01,-0.02,48.6,52.09
597,IWIRX,Guinness Atkinson Global Innovators Fund Investor Class,-0.01,-0.02,42.89,43.94
598,CBDYX,Columbia Balanced Fund Institutional 3 Class,-0.01,-0.02,41.62,42.59
599,CBLAX,Columbia Balanced Fund Class A,-0.01,-0.02,41.27,42.24
600,CBALX,Columbia Balanced Fund Institutional Class,-0.01,-0.02,41.18,42.15
601,FDSVX,Fidelity Growth Discovery Fund,-0.01,-0.02,39.31,38.94
602,RCGTX,AllianzGI Technology Fund Class C,-0.01,-0.03,37.2,38.01
603,DNMDX,Dunham Monthly Distribution Fund Class N,-0.01,-0.03,32.7,33.48
604,DAMDX,Dunham Monthly Distribution Fund Class A,-0.01,-0.03,31.51,32.28
605,PNAIX,T. Rowe Price New America Growth Fund I Class,-0.02,-0.03,54.19,54.19
606,MMDEX,Praxis Growth Index Fund Class I,-0.01,-0.04,26.75,26.99
607,MGFIX,AMG Managers Loomis Sayles Bond Fund Class N,-0.01,-0.04,25.95,26.69
608,FIRFX,Fidelity Advisor Managed Retirement 2025 Fund Class I,-0.02,-0.04,50.43,52.24
609,FARFX,Fidelity Advisor Managed Retirement 2025 Fund Class A,-0.02,-0.04,50.29,52.11
610,SIBAX,Sit Balanced Fund,-0.01,-0.04,24.58,25.0
611,FARVX,Fidelity Advisor Managed Retirement 2020 Fund Class A,-0.02,-0.04,49.46,51.01
612,TRRDX,T. Rowe Price Retirement 2040 Fund,-0.01,-0.04,23.74,25.54
613,PARDX,T. Rowe Price Retirement 2040 Fund Advisor Class,-0.01,-0.04,23.5,25.29
614,RRTDX,T. Rowe Price Retirement 2040 Fund Class R,-0.01,-0.04,23.32,25.09
615,DCMDX,Dunham Monthly Distribution Fund Class C,-0.01,-0.04,24.42,25.12
616,TRRCX,T. Rowe Price Retirement 2030 Fund,-0.01,-0.04,23.15,24.63
617,HRCMX,Carillon ClariVest Capital Appreciation Fund Class R5,-0.02,-0.04,45.75,46.29
618,HRCUX,Carillon ClariVest Capital Appreciation Fund Class R6,-0.02,-0.04,45.56,46.09
